id,school_id,Number of Started Assigned Learning Activities,Number of Completed Assigned Learning Activities,Ratio of Completed Learning Activities to Assigned Learning Activities,Total Time in Completed Learning Activities,Average Time in Completed Learning Activities,Number of Exercise Activities,Number of Engagement Activities,Number of Comunication Activities,Number of Video Activities,Number of Game Activities,Number of Free Learning Activities,Number of Unique Free Learning Activities,Number of Started Learning Tracks,Number of Completed Learning Tracks,Total Time in Completed Learning Tracks,Average Time in Completed Learning Tracks,Number of Language Learning Tracks Started,Number of STEM Learning Tracks Started,Number of Music Learning Tracks Started,Number of Religion Learning Tracks Started,Number of Problems,Average Difficulty Rating,Average Fun Rating
193175eb-4b75-422d-a226-19ab47d35509,9,9,7,0.1891891891891892,0 days 00:12:26.332079,0 days 00:01:46.618868428,3,3,0,2,1,0,0,2,0,,,1,0,1,0,1,,4.5
be2b9222-ac5d-492d-b2ab-ccfd85e34081,9,5,5,0.625,38 days 01:51:24.201810,7 days 14:46:16.840362,3,0,0,1,1,0,0,1,0,,,0,0,1,0,0,,3.5
784fcd83-3e4d-4665-a1a6-73b9d9570d98,9,3,3,0.375,3 days 00:43:20.973502,1 days 00:14:26.991167333,1,0,0,1,1,0,0,1,0,,,0,0,1,0,4,,3.6666666666666665
db944a8a-4f01-4f64-a965-e4ecfbdbc368,9,4,3,0.375,38 days 01:15:54.457979,12 days 16:25:18.152659666,2,0,0,1,1,0,0,1,0,,,0,0,1,0,1,,5.0
d9a43598-26c1-44c3-bf29-6d2823e66a36,9,7,7,0.875,38 days 00:59:41.217112,5 days 10:25:40.173873142,3,0,0,3,1,0,0,1,0,,,0,0,1,0,0,,3.1666666666666665
3ecef42c-d997-4049-b7ba-1c547c597fb8,9,6,6,0.75,38 days 00:57:08.561173,6 days 08:09:31.426862166,3,0,0,2,1,0,0,1,0,,,0,0,1,0,0,,3.4
0535e74b-5795-4fe6-afdb-76fac5108c8e,9,5,5,0.625,3 days 00:46:38.938688,0 days 14:33:19.787737600,3,0,0,1,1,0,0,1,0,,,0,0,1,0,0,,3.6666666666666665
20410742-6429-46f8-8781-ddd53f8d29dc,9,4,2,0.13333333333333333,3 days 00:04:23.878848,1 days 12:02:11.939424,1,0,0,1,2,0,0,2,0,,,0,0,2,0,1,,4.0
16dbc792-2244-4ab3-ad0b-9dc22ac74100,9,6,4,0.5,3 days 00:43:55.750414,0 days 18:10:58.937603500,3,0,0,2,1,0,0,1,0,,,0,0,1,0,0,,4.0
24992e56-dce1-43aa-ac13-ee0466859087,9,2,1,0.125,0 days 00:00:00.248450,0 days 00:00:00.248450,1,0,0,0,1,0,0,1,1,38 days 00:59:19.554000,38 days 00:59:19.554000,0,0,1,0,0,,
3726ade6-171a-4d2a-8c79-894f53b06d03,9,8,8,1.0,0 days 00:49:02.886306,0 days 00:06:07.860788250,3,0,0,4,1,0,0,1,1,0 days 00:50:28.548000,0 days 00:50:28.548000,0,0,1,0,0,,4.714285714285714
1c24c4cf-8c2b-426c-a004-a20504c4cced,9,2,1,0.125,38 days 00:56:55.687388,38 days 00:56:55.687388,0,0,0,1,1,0,0,1,0,,,0,0,1,0,0,,3.0
d28c581f-ea9b-4a95-bf8b-c12f30299a09,9,5,4,0.5,3 days 00:53:01.165066,0 days 18:13:15.291266500,3,0,0,1,1,0,0,1,0,,,0,0,1,0,0,,3.6666666666666665
01d16c08-3b68-4628-bfa3-fc5bc3fde95d,9,2,0,0.0,,,1,0,0,0,1,0,0,1,0,,,0,0,1,0,0,,
c22bb431-5350-4b36-bd9a-5668802fd05a,9,28,25,0.5813953488372093,14 days 23:40:40.669973,0 days 14:23:13.626798920,17,6,1,3,1,0,0,2,0,,,1,0,1,0,0,,2.909090909090909
